Word,Number
airways staff,11
ground staff,35
service staff,4
rude staff,8
from staff,1
while staff,1
unhelpful staff,1
more staff,1
indifferent staff,1
with staff,2
to staff,1
one staff,1
heathrow staff,1
no staff,6
clueless staff,1
counter staff,3
it staff,1
striking staff,1
lounge staff,1
some staff,1
helpful staff,3
our staff,3
agency staff,1
abrupt staff,1
0,1884
calls staff,1
iberia staff,3
shame staff,1
name staff,1
2 staff,1
here staff,1
regular staff,1
available staff,1
them staff,1
handling staff,1
cabin staff,33
complaint staff,1
and staff,10
that staff,3
pleasant staff,1
selection staff,1
broken staff,1
another staff,1
unprofessional staff,2
desk staff,1
checkin staff,5
hungry staff,1
arrangement staff,1
awful staff,1
a staff,1
uncomfortable staff,1
swiss staff,1
london staff,2
on staff,2
their staff,3
options staff,1
tight staff,1
uninterested staff,2
crash staff,1
nice staff,1
wrong staff,1
miserable staff,1
fit staff,1
onboard staff,2
of staff,13
airport staff,5
attentive staff,1
inflight staff,3
friendly staff,4
appalling staff,1
go staff,1
oblivious staff,1
dedicated staff,1
the staff,75
gate staff,4
poor staff,2
be staff,1
line staff,2
flight staff,5
waiting staff,1
uninspired staff,1
your staff,2
europe staff,1
money staff,1
goslow staff,1
ba staff,22
in staff,14
information staff,1
protect staff,1
airline staff,2
though staff,1
arrogant staff,2
good staff,1
boarding staff,1
